person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_Y
21,9600,5.0,1000,11.14,0,0.1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
25,9600,1.0,5500,12.87,1,0.57,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
23,65500,4.0,35000,15.23,1,0.53,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
24,54400,8.0,35000,14.27,1,0.55,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
21,9900,2.0,2500,7.14,1,0.25,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
26,77100,8.0,35000,12.42,1,0.45,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
24,78956,5.0,35000,11.11,1,0.44,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
24,83000,8.0,35000,8.9,1,0.42,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
21,10000,6.0,1600,14.74,1,0.16,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
22,85000,6.0,35000,10.37,1,0.41,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
21,10000,2.0,4500,8.63,1,0.45,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
23,95000,2.0,35000,7.9,1,0.37,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,108160,4.0,35000,18.39,1,0.32,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
23,115000,2.0,35000,7.9,0,0.3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,500000,7.0,30000,10.65,0,0.06,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,120000,0.0,35000,7.9,0,0.29,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,92111,7.0,35000,20.25,1,0.32,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
23,113000,8.0,35000,18.25,1,0.31,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
24,10800,8.0,1750,10.99,1,0.16,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,162500,2.0,35000,7.49,0,0.22,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
25,137000,9.0,34800,16.77,0,0.25,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
22,65000,4.0,34000,17.58,1,0.52,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
24,10980,0.0,1500,7.29,0,0.14,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
22,80000,3.0,33950,14.54,1,0.42,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
24,67746,8.0,33000,12.68,1,0.49,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
21,11000,3.0,4575,17.74,1,0.42,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
23,11000,0.0,1400,9.32,0,0.13,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24,65000,6.0,32500,9.99,1,0.5,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
21,11389,5.0,4000,12.84,1,0.35,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
21,11520,5.0,2000,11.12,1,0.17,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
25,120000,2.0,32000,6.62,0,0.27,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,95000,7.0,31050,14.17,1,0.33,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
25,306000,2.0,24250,13.85,0,0.08,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
26,300000,10.0,7800,13.49,0,0.03,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
21,12000,5.0,2500,7.51,1,0.21,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
22,48000,1.0,30000,18.39,1,0.63,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
24,64000,8.0,30000,14.54,1,0.47,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
25,75000,4.0,30000,16.89,1,0.4,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
23,71500,3.0,30000,11.011528565123772,1,0.42,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
26,62050,6.0,30000,17.99,1,0.41,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
24,12000,4.0,2500,12.69,1,0.21,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
26,300000,10.0,20000,7.88,0,0.07,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,300000,1.0,24250,19.41,0,0.08,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
26,300000,9.0,10000,10.38,0,0.03,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
26,300000,0.0,25000,15.33,0,0.08,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25,300000,9.0,18000,16.45,0,0.06,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26,80690,8.0,30000,7.49,1,0.37,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
22,66300,4.0,30000,12.69,1,0.38,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
26,89028,0.0,30000,6.62,1,0.34,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,78000,4.0,30000,11.011528565123772,1,0.38,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
23,78000,7.0,30000,18.62,1,0.38,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
23,92004,6.0,30000,15.23,1,0.33,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
23,97000,7.0,30000,10.65,1,0.31,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
25,120000,9.0,30000,7.9,0,0.25,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26,280000,4.0,10000,15.96,0,0.04,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
26,277104,0.0,20000,11.48,0,0.07,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
23,277000,3.0,35000,11.011528565123772,0,0.13,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
25,128000,9.0,30000,7.29,0,0.23,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
24,12000,2.0,1750,11.011528565123772,0,0.15,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
21,131000,0.0,30000,5.99,0,0.23,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
